Station,Station Latitude,Station Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Airport,33.640758,-84.446341,Starbucks,33.64089102,-84.44476896,Coffee Shop
Airport,33.640758,-84.446341,Metal Penguin,33.64005874,-84.44452973,Public Art
Airport,33.640758,-84.446341,Zimbabwe: A Tradition in Stone,33.64074521,-84.44253886,Art Gallery
Airport,33.640758,-84.446341,TSA PreCheck North,33.64127649,-84.44402933,Airport Service
Airport,33.640758,-84.446341,Starbucks,33.641678,-84.44662,Coffee Shop
Airport,33.640758,-84.446341,Starbucks,33.640947,-84.443954,Coffee Shop
Airport,33.640758,-84.446341,Auntie Anne's,33.640931,-84.444774,Food Stand
Airport,33.640758,-84.446341,Papi's Cuban and Caribbean Grill,33.64000912,-84.44266448,Caribbean Restaurant
Airport,33.640758,-84.446341,United Airlines Ticket Counter,33.64146898,-84.44427318,Airport Service
Airport,33.640758,-84.446341,Clear Security Checkpoint,33.64044975,-84.44308394,Airport Service
Airport,33.640758,-84.446341,Delta Sky Club,33.63994822,-84.4425592,Airport Lounge
Airport,33.640758,-84.446341,Brooks Brothers,33.6405412,-84.44463739,Clothing Store
Airport,33.640758,-84.446341,Delta Air Lines Ticket Counter,33.64024034,-84.44409394,Airport Service
Airport,33.640758,-84.446341,Enterprise Rent-A-Car,33.64109352,-84.44630358,Rental Car Location
Airport,33.640758,-84.446341,Bojangles' Famous Chicken 'n Biscuits,33.639731,-84.44251,Fast Food Restaurant
Airport,33.640758,-84.446341,Atlanta Airport Ground Transportation,33.6408901,-84.44658876,Bus Station
Airport,33.640758,-84.446341,Shane's Rib Shack,33.64042103,-84.44474919,BBQ Joint
Airport,33.640758,-84.446341,Jamba Juice,33.638389,-84.442467,Juice Bar
Airport,33.640758,-84.446341,Georgia Lottery,33.64024708,-84.44479632,Betting Shop
Airport,33.640758,-84.446341,Auntie Anne’s,33.643126,-84.442463,Bakery
Airport,33.640758,-84.446341,Subway,33.639613,-84.442389,Sandwich Place
Airport,33.640758,-84.446341,Brookstone,33.6403166,-84.44248438,Electronics Store
Airport,33.640758,-84.446341,United Club,33.64145002,-84.44211279,Airport Lounge
Airport,33.640758,-84.446341,Uncle Maddio's Pizza,33.64172135,-84.44251302,Pizza Place
Airport,33.640758,-84.446341,Rideshare Pickup Area (South Terminal),33.63847023,-84.44681782,Taxi Stand
Airport,33.640758,-84.446341,Maison Mathis 'Transit' - Atlanta International Airport,33.63983843,-84.44902897,Restaurant
Airport,33.640758,-84.446341,Hartsfield Jackson Economy Parking,33.64063249,-84.44975374,Airport Terminal
Arts Center,33.789705,-84.387789,High Museum of Art,33.78954636,-84.38594991,Art Museum
Arts Center,33.789705,-84.387789,Yayoi Kusama - Infinity Mirrors,33.7895022,-84.38593916,Exhibit
Arts Center,33.789705,-84.387789,DaVinci's Midtown,33.78923393,-84.38784987,Pizza Place
Arts Center,33.789705,-84.387789,Atlanta Symphony Hall,33.78865979,-84.3854778,Concert Hall
Arts Center,33.789705,-84.387789,Alliance Theatre,33.78937708,-84.38520344,Theater
Arts Center,33.789705,-84.387789,Nan Thai Fine Dining,33.79173634,-84.38941023,Thai Restaurant
Arts Center,33.789705,-84.387789,The Woodruff Arts Center,33.78937858,-84.38464755,Performing Arts Venue
Arts Center,33.789705,-84.387789,Center Stage,33.79215572,-84.38842821,Music Venue
Arts Center,33.789705,-84.387789,The Loft,33.79212692,-84.38788301,Music Venue
Arts Center,33.789705,-84.387789,Whole World Improv Theatre,33.78791795,-84.38954531,Comedy Club
